Customer_ID,Frequency,Monetary,Recency,M_Score,R_Score,Frequency_Rank,F_Score,RFM_Score,RFM_Code,Segment
CUST_00001,3,2199.63,112,3,3,2147.0,3,9,333,Others
CUST_00002,2,809.9000000000001,284,2,1,893.0,1,4,112,Lost
CUST_00003,2,3030.81,83,3,3,894.0,1,7,313,Others
CUST_00004,1,383.22,42,1,4,1.0,1,6,411,New Customer
CUST_00005,3,2422.73,279,3,1,2148.0,3,7,133,At Risk
CUST_00006,3,1245.83,212,2,2,2149.0,3,7,232,At Risk
CUST_00007,1,1331.55,81,2,3,2.0,1,6,312,Others
CUST_00008,3,5602.29,169,4,2,2150.0,3,9,234,At Risk
CUST_00009,1,470.86,39,1,4,3.0,1,6,411,New Customer
CUST_00010,3,1421.16,22,2,5,2151.0,3,10,532,Potential Loyalists
CUST_00011,7,6328.45,12,4,5,4475.0,5,14,554,Champions
CUST_00012,1,794.4,53,2,4,4.0,1,7,412,New Customer
CUST_00013,2,667.97,30,2,5,895.0,1,8,512,New Customer
CUST_00014,3,550.5600000000001,170,1,2,2152.0,3,6,231,At Risk
CUST_00015,4,17407.51,163,5,2,3156.0,4,11,245,Cannot Lose Them
CUST_00016,10,7775.48,53,5,4,4907.0,5,14,455,Champions
CUST_00017,1,903.51,181,2,2,5.0,1,5,212,Hibernating
CUST_00018,4,3145.06,8,3,5,3157.0,4,12,543,Loyal Customer
CUST_00019,1,673.1,27,2,5,6.0,1,8,512,New Customer
CUST_00020,2,2577.16,50,3,4,896.0,1,8,413,New Customer
CUST_00021,3,5200.38,8,4,5,2153.0,3,12,534,Potential Loyalists
CUST_00022,4,933.56,65,2,4,3158.0,4,10,442,Loyal Customer
CUST_00023,1,105.55,103,1,3,7.0,1,5,311,Others
CUST_00024,2,333.99,344,1,1,897.0,1,3,111,Lost
CUST_00025,2,1061.66,268,2,1,898.0,1,4,112,Lost
CUST_00026,2,790.61,276,2,1,899.0,1,4,112,Lost
CUST_00027,4,2577.61,30,3,5,3159.0,4,12,543,Loyal Customer
CUST_00028,2,865.42,128,2,2,900.0,1,5,212,Hibernating
CUST_00029,8,15296.52,1,5,5,4667.0,5,15,555,Champions
CUST_00030,7,19332.92,47,5,4,4476.0,5,14,455,Champions
CUST_00031,3,514.58,17,1,5,2154.0,3,9,531,Potential Loyalists
CUST_00032,1,45.36,221,1,1,8.0,1,3,111,Lost
CUST_00033,2,415.38,139,1,2,901.0,1,4,211,Hibernating
CUST_00034,2,6302.3,369,4,1,902.0,1,6,114,Lost
CUST_00035,2,221.73,17,1,5,903.0,1,7,511,New Customer
CUST_00036,3,373.63,149,1,2,2155.0,3,6,231,At Risk
CUST_00037,1,3599.4,88,4,3,9.0,1,8,314,Others
CUST_00038,3,1130.59,43,2,4,2156.0,3,9,432,Potential Loyalists
CUST_00039,3,3282.3,110,3,3,2157.0,3,9,333,Others
CUST_00040,3,2875.36,60,3,4,2158.0,3,10,433,Potential Loyalists
CUST_00041,4,5685.56,16,4,5,3160.0,4,13,544,Champions
CUST_00042,2,3605.71,207,4,2,904.0,1,7,214,Hibernating
CUST_00043,2,1279.8000000000002,114,2,3,905.0,1,6,312,Others
CUST_00044,2,391.98,60,1,4,906.0,1,6,411,New Customer
CUST_00045,3,7551.92,75,5,3,2159.0,3,11,335,Others
CUST_00046,2,1887.29,90,3,3,907.0,1,7,313,Others
CUST_00047,2,2974.21,18,3,5,908.0,1,9,513,New Customer
CUST_00048,4,4436.29,53,4,4,3161.0,4,12,444,Champions
CUST_00049,3,702.35,134,2,2,2160.0,3,7,232,At Risk
CUST_00050,1,247.4,12,1,5,10.0,1,7,511,New Customer
CUST_00051,2,338.22,27,1,5,909.0,1,7,511,New Customer
CUST_00052,4,6802.75,11,4,5,3162.0,4,13,544,Champions
CUST_00053,1,208.84,23,1,5,11.0,1,7,511,New Customer
CUST_00054,1,529.46,215,1,1,12.0,1,3,111,Lost
CUST_00055,3,774.3199999999999,11,2,5,2161.0,3,10,532,Potential Loyalists
CUST_00056,5,5841.23,32,4,4,3731.0,4,12,444,Champions
CUST_00057,4,1515.39,88,2,3,3163.0,4,9,342,Loyal Customer
CUST_00058,6,4964.26,60,4,4,4176.0,5,13,454,Champions
CUST_00059,4,3890.71,31,4,4,3164.0,4,12,444,Champions
CUST_00060,1,1172.8,219,2,1,13.0,1,4,112,Lost
CUST_00061,3,1242.8,44,2,4,2162.0,3,9,432,Potential Loyalists
CUST_00062,4,5638.85,94,4,3,3165.0,4,11,344,Loyal Customer
CUST_00063,3,2960.14,26,3,5,2163.0,3,11,533,Potential Loyalists
CUST_00064,1,732.09,49,2,4,14.0,1,7,412,New Customer
CUST_00065,2,2971.2200000000003,16,3,5,910.0,1,9,513,New Customer
CUST_00066,1,3552.78,191,4,2,15.0,1,7,214,Hibernating
CUST_00067,5,1488.37,64,2,4,3732.0,4,10,442,Loyal Customer
CUST_00068,1,122.67,48,1,4,16.0,1,6,411,New Customer
CUST_00069,2,2560.76,172,3,2,911.0,1,6,213,Hibernating
CUST_00070,3,1276.27,145,2,2,2164.0,3,7,232,At Risk
CUST_00071,4,2052.29,60,3,4,3166.0,4,11,443,Loyal Customer
CUST_00072,7,5370.1,31,4,4,4477.0,5,13,454,Champions
CUST_00073,1,224.75,241,1,1,17.0,1,3,111,Lost
CUST_00074,7,9628.38,50,5,4,4478.0,5,14,455,Champions
CUST_00075,3,9552.54,132,5,2,2165.0,3,10,235,At Risk
CUST_00076,5,21055.71,45,5,4,3733.0,4,13,445,Champions
CUST_00077,4,1282.79,9,2,5,3167.0,4,11,542,Loyal Customer
CUST_00078,3,299.29,204,1,2,2166.0,3,6,231,At Risk
CUST_00079,3,2644.09,221,3,1,2167.0,3,7,133,At Risk
CUST_00080,5,703.8,139,2,2,3734.0,4,8,242,At Risk
CUST_00081,1,1985.21,145,3,2,18.0,1,6,213,Hibernating
CUST_00082,5,3602.99,97,4,3,3735.0,4,11,344,Loyal Customer
CUST_00083,1,510.39,167,1,2,19.0,1,4,211,Hibernating
CUST_00084,6,2703.68,86,3,3,4177.0,5,11,353,Loyal Customer
CUST_00085,2,933.03,197,2,2,912.0,1,5,212,Hibernating
CUST_00086,2,2238.3,370,3,1,913.0,1,5,113,Lost
CUST_00087,5,1283.77,154,2,2,3736.0,4,8,242,At Risk
CUST_00088,5,1563.12,86,2,3,3737.0,4,9,342,Loyal Customer
CUST_00089,9,14986.29,87,5,3,4808.0,5,13,355,Loyal Customer
CUST_00090,4,3776.86,163,4,2,3168.0,4,10,244,Cannot Lose Them
CUST_00091,4,582.1700000000001,147,1,2,3169.0,4,7,241,At Risk
CUST_00092,10,8608.02,16,5,5,4908.0,5,15,555,Champions
CUST_00093,2,6583.81,136,4,2,914.0,1,7,214,Hibernating
CUST_00094,1,426.73,225,1,1,20.0,1,3,111,Lost
CUST_00095,3,593.19,191,1,2,2168.0,3,6,231,At Risk
CUST_00096,3,467.69,8,1,5,2169.0,3,9,531,Potential Loyalists
CUST_00097,1,481.84,39,1,4,21.0,1,6,411,New Customer
CUST_00098,2,2463.56,101,3,3,915.0,1,7,313,Others
CUST_00099,4,18407.65,32,5,4,3170.0,4,13,445,Champions
CUST_00100,1,405.46,86,1,3,22.0,1,5,311,Others
CUST_00101,5,14130.9,133,5,2,3738.0,4,11,245,Cannot Lose Them
CUST_00102,3,3300.2200000000003,94,3,3,2170.0,3,9,333,Others
CUST_00103,5,3956.62,116,4,3,3739.0,4,11,344,Loyal Customer
CUST_00104,6,2906.6,36,3,4,4178.0,5,12,453,Loyal Customer
CUST_00105,2,1380.1,46,2,4,916.0,1,7,412,New Customer
CUST_00106,3,9962.97,17,5,5,2171.0,3,13,535,Potential Loyalists
CUST_00107,3,3083.11,251,3,1,2172.0,3,7,133,At Risk
CUST_00108,2,9111.15,44,5,4,917.0,1,10,415,New Customer
CUST_00109,6,2921.82,48,3,4,4179.0,5,12,453,Loyal Customer
CUST_00110,2,562.8,243,1,1,918.0,1,3,111,Lost
CUST_00111,5,5355.2300000000005,99,4,3,3740.0,4,11,344,Loyal Customer
CUST_00112,5,5338.15,9,4,5,3741.0,4,13,544,Champions
CUST_00113,3,6708.43,66,4,4,2173.0,3,11,434,Potential Loyalists
CUST_00114,2,226.3,96,1,3,919.0,1,5,311,Others
CUST_00115,5,5358.67,57,4,4,3742.0,4,12,444,Champions
CUST_00116,2,396.59,196,1,2,920.0,1,4,211,Hibernating
CUST_00117,2,1997.66,408,3,1,921.0,1,5,113,Lost
CUST_00118,2,1258.27,196,2,2,922.0,1,5,212,Hibernating
CUST_00119,2,822.8799999999999,163,2,2,923.0,1,5,212,Hibernating
CUST_00120,2,1048.33,59,2,4,924.0,1,7,412,New Customer
CUST_00121,2,1275.4,156,2,2,925.0,1,5,212,Hibernating
CUST_00122,2,5916.799999999999,80,4,3,926.0,1,8,314,Others
CUST_00123,1,119.1,79,1,3,23.0,1,5,311,Others
CUST_00124,3,1334.43,96,2,3,2174.0,3,8,332,Others
CUST_00125,6,5482.31,1,4,5,4180.0,5,14,554,Champions
CUST_00126,3,5796.18,184,4,2,2175.0,3,9,234,At Risk
CUST_00127,2,6812.73,194,4,2,927.0,1,7,214,Hibernating
CUST_00128,3,1894.36,27,3,5,2176.0,3,11,533,Potential Loyalists
CUST_00129,4,4425.11,133,4,2,3171.0,4,10,244,Cannot Lose Them
CUST_00130,5,1415.34,183,2,2,3743.0,4,8,242,At Risk
CUST_00131,4,1450.0500000000002,32,2,4,3172.0,4,10,442,Loyal Customer
CUST_00132,1,401.74,93,1,3,24.0,1,5,311,Others
